ps,sd,ps2,sd2,osize,oaflas,ohsn,csfa,cpl,css,cslw,rfa,ms,mlw,sw,trq
540,0.87,540,1.18,2-237,1042605,812776,N/A,"266445
100571056 (HS)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
,,,,,,,,,,,,,,,
540,0.87,540 (FS) ,1.18,2-237,1042605,812776,N/A,"100480665
+ shims",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
,,,,,,,,,,,,,,,
540 (FS) ,0.87,540 (FS) ,1.18,2-237,1042605,812776,N/A,100480665,68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
540 (FS) ,0.87,540,1.18,2-237,1042605,812776,N/A,"100480665
+ shims",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
,,,,,,,,,,,,,,,
540,0.87,"562/540 Adapter to Intake or GS ",1.18,"2-237
2-241","1042605
1072511","812776
997635",DNE,DNE,"68973 (11)
68973 (11)","307223 (11)
307223 (11)",DNE,"118190 (11)
118190 (11)","310086 (11)
310086 (11)","44778
44778","26
26"
,,,,,,,,,,,,,,,
540,0.87,"675/540 Adapter to Intake or GS ",1.18,"2-237
2-246","1042605
1042639","812776
996108",DNE,DNE,"68973 (11)
266932 (14)","307223 (11)
307009 (14)",DNE,"118190 (11)
267427 (14)","310086 (11)
310151 (14)","44778
44654","26
43"
,,,,,,,,,,,,,,,
540,0.87,"675/738 Adapter to Intake or GS ",1.18,"2-237
2-246","1042605
1042639","812776
996108",DNE,DNE,"68973 (11)
266932 (14)","307223 (11)
307009 (14)",DNE,"118190 (11)
267427 (14)","310086 (11)
310151 (14)","44778
44654","26
43"
,,,,,,,,,,,,,,,
540,1,"400 Adapter to Intake or GS ",0.87,"2-237
2-228","1042605
1042563","812776
826263",902205,902221,"68973 (11)
89268 (8)","307223 (11)
306985 (8)",1268473,"118190 (11)
846162 (8)","310086 (11)
310078 (8)","44778
44593","26
12"
,,,,,,,,,,,,,,,
540,1,"400 Adapter to Ext Hd Intake or GS ",0.87,"2-237
2-228","1042605
1042563","812776
826263",902205,100714762,"68973 (11)
72827 (8)","307223 (11)
307041 (8)",1268473,"118190 (11)
2004142 (8)","310086 (11)
309146 (8)","44778
1/4 Allen","26
12"
,,,,,,,,,,,,,,,
540,1,540,1.18,2-237,1042605,812776,N/A,"284729
100567621 (INC-625)
100752172 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
540,1,540 (FS) ,1.18,2-237,1042605,812776,N/A,"100134021
100910760 (INC-718)
+ shims",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
